model,subtype,n_present,n_absent,hits,false_alarms,recall,fpr
gemini_3_1_pro,cap_open,30,210,1,0,0.03333333333333333,0.0
gemini_3_1_pro,tube_drop,30,210,1,0,0.03333333333333333,0.0
gemini_3_1_pro,tube_empty,30,210,12,39,0.4,0.18571428571428572
gemini_3_1_pro,vortex_off,30,210,0,1,0.0,0.004761904761904762
gemini_3_1_pro,wrong_orientation,30,210,0,1,0.0,0.004761904761904762
gemini_3_1_pro,wrong_rack,30,210,2,8,0.06666666666666667,0.0380952380952381
gemini_3_1_pro,rack_flipped,30,210,1,9,0.03333333333333333,0.04285714285714286
gemini_3_1_pro,other_failure,0,240,0,4,,0.016666666666666666
