model,subtype,n_present,n_absent,hits,false_alarms,recall,fpr
gemini_3_1_pro,cap_open,30,210,1,1,0.03333333333333333,0.004761904761904762
gemini_3_1_pro,tube_drop,30,210,2,1,0.06666666666666667,0.004761904761904762
gemini_3_1_pro,tube_empty,30,210,14,35,0.4666666666666667,0.16666666666666666
gemini_3_1_pro,vortex_off,30,210,0,4,0.0,0.01904761904761905
gemini_3_1_pro,wrong_orientation,30,210,0,1,0.0,0.004761904761904762
gemini_3_1_pro,wrong_rack,30,210,6,8,0.2,0.0380952380952381
gemini_3_1_pro,rack_flipped,30,210,4,6,0.13333333333333333,0.02857142857142857
gemini_3_1_pro,other_failure,0,240,0,3,,0.0125
