model,n,completed,parse_errors,missing_confidence,outcome_accuracy,exact_target_accuracy,expected_label_included_accuracy,auroc,cost
MiniMax,257,257,0,0,0.6809338521400778,0.14007782101167315,0.20233463035019456,0.5443710270993644,0.982039128
Gemini Flash,257,257,0,2,0.5642023346303502,0.3735408560311284,0.39299610894941633,0.650337253545486,3.4815405
Gemini Pro,257,257,0,0,0.6264591439688716,0.3424124513618677,0.38132295719844356,0.6639762462361994,4.464586000000001
Qwen,257,257,0,0,0.49416342412451364,0.26848249027237353,0.33852140077821014,0.6577450652392104,2.279913025
