model,n,completed,parse_errors,missing_confidence,accuracy,balanced_accuracy,success_recall,failure_recall,precision_success,f1_success,tp,tn,fp,fn,auroc,cost
MiniMax,257,257,0,0,0.7392996108949417,0.4846938775510204,0.0,0.9693877551020408,0.0,,0,190,6,61,0.5428236868517899,0.97438536
Gemini Flash,257,257,0,1,0.5447470817120622,0.6394279023084644,0.819672131147541,0.45918367346938777,0.32051282051282054,0.46082949308755766,50,90,106,11,0.6486338797814207,3.09985275
Gemini Pro,257,257,0,0,0.5836575875486382,0.6536467045834727,0.7868852459016393,0.5204081632653061,0.3380281690140845,0.4729064039408867,48,102,94,13,0.6534794245567079,4.014202
Qwen,257,257,0,0,0.5408560311284046,0.6763967882234861,0.9344262295081968,0.41836734693877553,0.3333333333333333,0.49137931034482757,57,82,114,4,0.6869354299096688,2.2655048
